Snapshot Date,Checkin Date,Discount Code,DayDiff,WeekDay,Hotel_Encoded_Name
39,40,2,2,4,301
39,40,2,2,4,324
39,40,3,2,4,326
39,40,2,2,4,327
39,40,4,2,4,334
39,40,3,2,4,351
39,40,2,2,4,359
39,40,2,2,4,363
39,40,2,2,4,370
39,40,2,2,4,470
39,40,3,2,4,492
39,41,4,3,5,8
39,41,3,3,5,18
39,41,1,3,5,28
39,41,1,3,5,79
39,41,2,3,5,85
39,41,3,3,5,127
39,41,2,3,5,171
39,41,2,3,5,176
39,41,3,3,5,187
39,41,2,3,5,189
39,41,3,3,5,192
39,41,3,3,5,199
39,41,2,3,5,259
39,41,2,3,5,269
39,41,2,3,5,272
39,41,4,3,5,290
39,41,1,3,5,292
39,41,2,3,5,301
39,41,4,3,5,314
39,41,2,3,5,334
39,41,2,3,5,351
39,41,1,3,5,359
39,41,1,3,5,363
39,41,1,3,5,370
39,41,2,3,5,434
39,41,3,3,5,496
39,41,1,3,5,506
39,41,4,3,5,519
39,41,4,3,5,525
39,41,1,3,5,530
39,41,4,3,5,538
39,42,1,4,6,171
39,42,2,4,6,176
39,42,3,4,6,187
39,42,2,4,6,192
39,42,2,4,6,224
39,42,1,4,6,259
39,42,3,4,6,290
39,42,1,4,6,292
39,42,2,4,6,299
39,42,2,4,6,301
39,42,3,4,6,314
39,42,1,4,6,351
39,42,3,4,6,496
39,42,3,4,6,519
39,42,3,4,6,538
39,43,2,5,7,55
39,43,1,5,7,172
39,43,2,5,7,187
39,43,1,5,7,188
39,43,1,5,7,191
39,43,1,5,7,194
39,43,1,5,7,224
39,43,2,5,7,273
39,43,2,5,7,290
39,43,1,5,7,292
39,43,1,5,7,299
39,43,1,5,7,301
39,43,2,5,7,314
39,43,2,5,7,406
39,43,1,5,7,496
39,43,2,5,7,519
39,43,4,5,7,538
39,44,3,6,1,83
39,44,1,6,1,168
39,44,2,6,1,176
39,44,1,6,1,178
39,44,4,6,1,186
39,44,1,6,1,187
39,44,4,6,1,190
39,44,1,6,1,258
39,44,1,6,1,273
39,44,1,6,1,292
39,44,2,6,1,299
39,44,2,6,1,301
39,44,2,6,1,314
39,44,3,6,1,327
39,44,3,6,1,374
39,44,1,6,1,406
39,44,4,6,1,413
39,44,1,6,1,423
39,44,3,6,1,453
39,44,3,6,1,482
39,44,3,6,1,525
39,44,3,6,1,529
39,44,3,6,1,538
39,45,4,7,2,85
39,45,2,7,2,111
39,45,3,7,2,127
39,45,1,7,2,154
39,45,2,7,2,190
39,45,1,7,2,192
39,45,2,7,2,269
39,45,2,7,2,285
39,45,1,7,2,314
39,45,2,7,2,327
39,45,1,7,2,332
39,45,2,7,2,374
39,45,3,7,2,413
39,45,4,7,2,420
39,45,3,7,2,482
