Hotel Name,Snapshot Date,Discount Code,Count
Newark Liberty International Airport Marriott,2015-10-16,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-10-29,3,15
Loews Regency New York Hotel,2015-08-26,2,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-10-23,3,15
Magnuson Convention Center Hotel,2015-08-02,4,15
Quality Inn Woodside,2015-11-05,2,15
Magnuson Convention Center Hotel,2015-07-30,2,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-30,4,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-10-25,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-31,3,15
Wyndham Garden Brooklyn Sunset Park,2015-11-06,2,15
Westin New York at Times Square,2015-10-07,2,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-25,4,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-31,4,15
Westin New York at Times Square,2015-10-11,2,15
Loews Regency New York Hotel,2015-08-24,2,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-04,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2016-01-01,4,15
Langham Place New York Fifth Avenue,2015-07-23,1,15
Wyndham Garden Brooklyn Sunset Park,2015-10-11,2,15
Loews Regency New York Hotel,2015-08-24,3,15
Westin New York at Times Square,2015-10-24,3,15
Westin New York at Times Square,2015-10-28,3,15
Westin New York at Times Square,2015-10-29,3,15
Westin New York at Times Square,2015-11-03,2,15
Westin New York at Times Square,2015-11-03,3,15
Renaissance Newark Airport Hotel,2015-12-28,3,15
The Carlyle A Rosewood Hotel,2015-12-12,1,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-29,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-08,4,15
Loews Regency New York Hotel,2015-08-26,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-07-22,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-12-24,3,15
Residence Inn Newark Elizabeth Liberty International Airport,2015-11-14,4,15
Hampton Inn New York - 35th Street - Empire State Building,2015-11-17,3,15
Westin New York at Times Square,2015-10-06,3,15
